카이사	카이사		96.48484826087952
렐	렐		95.15151488780975
쓰레쉬	쓰레쉬		94.18181777000427
킨드레드	킨드레드		93.39393869042397
아트록스	아트록스		93.15151479840279
바루스	바루스		92.48484832048416
빅토르	빅토르		91.8787876367569
그레이브즈	그레이브즈		91.81818142533302
자야	자야		91.63636320829391
사일러스	사일러스		91.63636302947998
징크스	징크스		91.39393925666809
벡스	벡스		91.333332747221
레오나	레오나		91.21212083101273
잭스	잭스		91.21212041378021
갱플랭크	갱플랭크		91.03030261397362
오른	오른		90.9696963429451
리븐	리븐		90.84848436713219
드레이븐	드레이븐		90.84848427772522
조이	조이		90.84848421812057
갈리오	갈리오		90.78787803649902
블라디미르	블라디미르		90.72727218270302
이렐리아	이렐리아		90.72727191448212
바이	바이		90.6666659116745
세라핀	세라핀		90.6060603260994
사미라	사미라		90.6060602068901
마오카이	마오카이		90.60606008768082
블리츠크랭크	블리츠크랭크		90.6060599386692
니달리	니달리		90.5454540848732
레타나 글라스크	레타나 글라스크		90.48484829068184
신지드	신지드		90.48484817147255
제이스	제이스		90.48484754562378
타릭	타릭		90.42424204945564
트리스타나	트리스타나		90.42424193024635
탈론	탈론		90.4242417216301
스웨인	스웨인		90.36363616585732
샤코	샤코		90.36363613605499
카서스	카서스		90.36363595724106
알리스타	알리스타		90.36363592743874
아무무	아무무		90.36363577842712
마스터 이	마스터 이		90.36363565921783
카사딘	카사딘		90.24242413043976
클레드	클레드		90.24242407083511
카직스	카직스		90.24242398142815
일라오이	일라오이		90.24242389202118
녹턴	녹턴		90.18181812763214
문도 박사	문도 박사		90.18181782960892
이블린	이블린		90.12121230363846
올라프	올라프		90.12121179699898
엘리스	엘리스		90.12121170759201
뽀삐	뽀삐		90.12121158838272
나미	나미		90.06060600280762
오리아나	오리아나		90.06060576438904
칼리스타	칼리스타		90.06060573458672
트린다미어	트린다미어		90.06060564517975
그라가스	그라가스		90.06060537695885
직스	직스		90.0
케일	케일		89.99999994039536
말파이트	말파이트		89.99999988079071
코르키	코르키		89.99999988079071
피즈	피즈		89.99999958276749
요릭	요릭		89.9393938779831
탈리야	탈리야		89.93939369916916
카타리나	카타리나		89.93939352035522
초가스	초가스		89.87878769636154
케인	케인		89.87878757715225
니코	니코		89.87878751754761
자크	자크		89.81818151473999
소라카	소라카		89.81818130612373
벨베스	벨베스		89.81818118691444
파이크	파이크		89.81818115711212
헤카림	헤카림		89.8181811273098
애니	애니		89.75757598876953
스카너	스카너		89.75757592916489
볼리베어	볼리베어		89.7575758099556
티모	티모		89.7575758099556
우르곳	우르곳		89.75757569074631
아리	아리		89.75757557153702
아우렐리온 솔	아우렐리온 솔		89.69696998596191
말자하	말자하		89.69696992635727
퀸	퀸		89.69696944952011
리 신	리 신		89.69696938991547
브라움	브라움		89.69696933031082
세주아니	세주아니		89.6969693005085
세나	세나		89.6969690322876
쉬바나	쉬바나		89.63636374473572
피들스틱	피들스틱		89.63636338710785
사이온	사이온		89.6363633275032
닐라	닐라		89.63636320829391
진	진		89.63636320829391
애니비아	애니비아		89.57575717568398
트위치	트위치		89.51515129208565
브랜드	브랜드		89.51515114307404
럼블	럼블		89.51515111327171
르블랑	르블랑		89.5151509642601
벨코즈	벨코즈		89.45454531908035
바드	바드		89.45454519987106
신 짜오	신 짜오		89.39393955469131
트위스티드 페이트	트위스티드 페이트		89.39393928647041
소나	소나		89.33333361148834
워윅	워윅		89.33333337306976
모데카이저	모데카이저		89.33333313465118
우디르	우디르		89.33333298563957
노틸러스	노틸러스		89.33333283662796
케넨	케넨		89.33333277702332
비에고	비에고		89.27272662520409
자이라	자이라		89.21212127804756
코그모	코그모		89.21212127804756
모르가나	모르가나		89.21212115883827
오공	오공		89.2121210694313
잔나	잔나		89.21212086081505
럭스	럭스		89.2121208012104
다이애나	다이애나		89.21212062239647
라이즈	라이즈		89.21212062239647
자르반 4세	자르반 4세		89.15151470899582
쉔	쉔		89.15151444077492
람머스	람머스		89.09090867638588
키아나	키아나		89.09090849757195
애쉬	애쉬		89.09090846776962
나서스	나서스		88.9696971476078
제리	제리		88.96969693899155
베이가	베이가		88.96969681978226
세트	세트		88.96969649195671
가렌	가렌		88.90909099578857
시비르	시비르		88.90909042954445
아이번	아이번		88.8484850525856
제라스	제라스		88.84848460555077
렉사이	렉사이		88.84848448634148
에코	에코		88.84848433732986
리산드라	리산드라		88.7878788113594
질리언	질리언		88.7878788113594
판테온	판테온		88.7878786623478
누누와 윌럼프	누누와 윌럼프		88.78787830471992
카시오페아	카시오페아		88.7878782749176
트런들	트런들		88.72727265954018
릴리아	릴리아		88.66666641831398
하이머딩거	하이머딩거		88.60606023669243
미스포츈	미스포츈		88.54545399546623
루시안	루시안		88.54545384645462
탐 켄치	탐 켄치		88.48484835028648
카르마	카르마		88.48484805226326
케이틀린	케이틀린		88.48484787344933
그웬	그웬		88.42424222826958
베인	베인		88.36363580822945
아지르	아지르		88.24242410063744
유미	유미		88.24242368340492
라칸	라칸		88.24242356419563
피오라	피오라		88.18181762099266
신드라	신드라		88.18181759119034
다리우스	다리우스		88.18181756138802
제드	제드		87.99999931454659
나르	나르		87.87878742814064
요네	요네		87.87878727912903
아크샨	아크샨		87.69696927070618
레넥톤	레넥톤		87.6363630592823
아칼리	아칼리		87.63636285066605
카밀	카밀		87.45454519987106
렝가	렝가		87.33333247900009
룰루	룰루		87.09090894460678
야스오	야스오		86.48484814167023
이즈리얼	이즈리얼		86.24242389202118
아펠리오스	아펠리오스		84.78787869215012
