렐	렐		69.0166675299406	90.98333412408829	160.0000016540289
쓰레쉬	쓰레쉬		72.55833411216736	87.4416673630476	160.00000147521496
킨드레드	킨드레드		73.05000085011125	86.95000061392784	160.0000014640391
카이사	카이사		73.28333351016045	86.71666699647903	160.00000050663948
자야	자야		74.79166761040688	85.20833456516266	160.00000217556953
징크스	징크스		75.29166791588068	84.70833447575569	160.00000239163637
아트록스	아트록스		76.2250007390976	83.77500066161156	160.00000140070915
바루스	바루스		76.33333407342434	83.66666746139526	160.0000015348196
빅토르	빅토르		76.41666768491268	83.58333384245634	160.00000152736902
잭스	잭스		76.50833429396152	83.49166765809059	160.00000195205212
벡스	벡스		76.57500120252371	83.42500072717667	160.00000192970037
오른	오른		76.74166777729988	83.25833433866501	160.0000021159649
리븐	리븐		76.78333424776793	83.21666780114174	160.00000204890966
블라디미르	블라디미르		76.81666773557663	83.18333449959755	160.00000223517418
그레이브즈	그레이브즈		76.85833391547203	83.14166741073132	160.00000132620335
레오나	레오나		76.92500086128712	83.07500083744526	160.00000169873238
갱플랭크	갱플랭크		76.95000070333481	83.05000062286854	160.00000132620335
아무무	아무무		76.9916674233973	83.00833377242088	160.0000011958182
갈리오	갈리오		77.20833417773247	82.79166761040688	160.00000178813934
세라핀	세라핀		77.50000089406967	82.50000116229057	160.00000205636024
드레이븐	드레이븐		77.58333440124989	82.41666767001152	160.0000020712614
사미라	사미라		77.6750008687377	82.32500040531158	160.00000127404928
이렐리아	이렐리아		77.73333417624235	82.2666676491499	160.00000182539225
제이스	제이스		77.81666751205921	82.18333441019058	160.0000019222498
신지드	신지드		77.83333432674408	82.16666778922081	160.0000021159649
블리츠크랭크	블리츠크랭크		77.85833441466093	82.14166759699583	160.00000201165676
타릭	타릭		77.88333421945572	82.11666806042194	160.00000227987766
바이	바이		77.91666759550571	82.08333414793015	160.00000174343586
탈론	탈론		77.98333439230919	82.01666776835918	160.00000216066837
알리스타	알리스타		78.12500105798244	81.87500068545341	160.00000174343586
카서스	카서스		78.1666674464941	81.83333440124989	160.000001847744
마스터 이	마스터 이		78.16666752099991	81.83333465456963	160.00000217556953
스웨인	스웨인		78.16666761040688	81.83333468437195	160.00000229477882
사일러스	사일러스		78.17500068247318	81.82500053942204	160.00000122189522
레타나 글라스크	레타나 글라스크		78.18333442509174	81.81666760146618	160.00000202655792
샤코	샤코		78.25000098347664	81.75000137090683	160.00000235438347
조이	조이		78.29166775941849	81.70833411812782	160.0000018775463
마오카이	마오카이		78.30833403021097	81.69166710972786	160.00000113993883
카사딘	카사딘		78.50000083446503	81.50000074505806	160.0000015795231
일라오이	일라오이		78.50000084936619	81.5000010728836	160.0000019222498
클레드	클레드		78.50000104308128	81.50000101327896	160.00000205636024
올라프	올라프		78.61666803061962	81.38333448767662	160.00000251829624
카직스	카직스		78.63333430886269	81.36666756868362	160.0000018775463
트리스타나	트리스타나		78.64166753739119	81.35833436250687	160.00000189989805
문도 박사	문도 박사		78.66666758060455	81.33333456516266	160.0000021457672
녹턴	녹턴		78.66666758060455	81.33333450555801	160.00000208616257
이블린	이블린		78.83333402872086	81.16666755080223	160.0000015795231
트린다미어	트린다미어		78.83333426713943	81.16666774451733	160.00000201165676
엘리스	엘리스		78.86666758358479	81.13333454728127	160.00000213086605
그라가스	그라가스		78.86666762828827	81.13333407789469	160.00000170618296
파이크	파이크		78.89166736602783	81.1083342730999	160.00000163912773
칼리스타	칼리스타		78.92500075697899	81.07500097155571	160.0000017285347
뽀삐	뽀삐		78.98333455622196	81.0166677981615	160.00000235438347
오리아나	오리아나		79.000000923872	81.0000011920929	160.0000021159649
나미	나미		79.00000104308128	81.00000074505806	160.00000178813934
코르키	코르키		79.16666704416275	80.83333399891853	160.00000104308128
케일	케일		79.16666728258133	80.83333447575569	160.00000175833702
직스	직스		79.1666673719883	80.83333432674408	160.00000169873238
말파이트	말파이트		79.16666746139526	80.83333429694176	160.00000175833702
피즈	피즈		79.16666772961617	80.83333438634872	160.0000021159649
탈리야	탈리야		79.27500063180923	80.72500084340572	160.00000147521496
요릭	요릭		79.33333417773247	80.66666772961617	160.00000190734863
니달리	니달리		79.35833391547203	80.64166721701622	160.00000113248825
카타리나	카타리나		79.41666758060455	80.58333460986614	160.0000021904707
니코	니코		79.50000083446503	80.50000098347664	160.00000181794167
케인	케인		79.50000101327896	80.50000116229057	160.00000217556953
초가스	초가스		79.50000104308128	80.50000113248825	160.00000217556953
진	진		79.52500069513917	80.47500076889992	160.0000014640391
자크	자크		79.55000123381615	80.45000112056732	160.00000235438347
비에고	비에고		79.67500074207783	80.32500092685223	160.00000166893005
아리	아리		79.68333438038826	80.31666767597198	160.00000205636024
소라카	소라카		79.80000123381615	80.20000103116035	160.0000022649765
애니	애니		79.8333338201046	80.1666671037674	160.000000923872
우르곳	우르곳		79.83333399891853	80.16666752099991	160.00000151991844
스카너	스카너		79.83333405852318	80.16666734218597	160.00000140070915
볼리베어	볼리베어		79.8333340883255	80.16666749119759	160.0000015795231
세주아니	세주아니		79.83333420753479	80.16666746139526	160.00000166893005
티모	티모		79.83333444595337	80.16666784882545	160.00000229477882
리 신	리 신		79.85000065714121	80.15000101178885	160.00000166893005
미스포츈	미스포츈		79.92500080168247	80.07500092685223	160.0000017285347
아우렐리온 솔	아우렐리온 솔		80.00000029802322	80.00000029802322	160.00000059604645
말자하	말자하		80.00000098347664	80.0000008046627	160.00000178813934
세나	세나		80.00000101327896	80.00000113248825	160.0000021457672
퀸	퀸		80.00000110268593	80.00000122189522	160.00000232458115
