championName,championId,Win,Lose,vs아트록스(승),vs아트록스(패),vs아리(승),vs아리(패),vs아칼리(승),vs아칼리(패),vs아크샨(승),vs아크샨(패),vs알리스타(승),vs알리스타(패),vs아무무(승),vs아무무(패),vs애니비아(승),vs애니비아(패),vs애니(승),vs애니(패),vs아펠리오스(승),vs아펠리오스(패),vs애쉬(승),vs애쉬(패),vs아우렐리온 솔(승),vs아우렐리온 솔(패),vs아지르(승),vs아지르(패),vs바드(승),vs바드(패),vs벨베스(승),vs벨베스(패),vs블리츠크랭크(승),vs블리츠크랭크(패),vs브랜드(승),vs브랜드(패),vs브라움(승),vs브라움(패),vs케이틀린(승),vs케이틀린(패),vs카밀(승),vs카밀(패),vs카시오페아(승),vs카시오페아(패),vs초가스(승),vs초가스(패),vs코르키(승),vs코르키(패),vs다리우스(승),vs다리우스(패),vs다이애나(승),vs다이애나(패),vs드레이븐(승),vs드레이븐(패),vs문도 박사(승),vs문도 박사(패),vs에코(승),vs에코(패),vs엘리스(승),vs엘리스(패),vs이블린(승),vs이블린(패),vs이즈리얼(승),vs이즈리얼(패),vs피들스틱(승),vs피들스틱(패),vs피오라(승),vs피오라(패),vs피즈(승),vs피즈(패),vs갈리오(승),vs갈리오(패),vs갱플랭크(승),vs갱플랭크(패),vs가렌(승),vs가렌(패),vs나르(승),vs나르(패),vs그라가스(승),vs그라가스(패),vs그레이브즈(승),vs그레이브즈(패),vs그웬(승),vs그웬(패),vs헤카림(승),vs헤카림(패),vs하이머딩거(승),vs하이머딩거(패),vs일라오이(승),vs일라오이(패),vs이렐리아(승),vs이렐리아(패),vs아이번(승),vs아이번(패),vs잔나(승),vs잔나(패),vs자르반 4세(승),vs자르반 4세(패),vs잭스(승),vs잭스(패),vs제이스(승),vs제이스(패),vs진(승),vs진(패),vs징크스(승),vs징크스(패),vs카이사(승),vs카이사(패),vs칼리스타(승),vs칼리스타(패),vs카르마(승),vs카르마(패),vs카서스(승),vs카서스(패),vs카사딘(승),vs카사딘(패),vs카타리나(승),vs카타리나(패),vs케일(승),vs케일(패),vs케인(승),vs케인(패),vs케넨(승),vs케넨(패),vs카직스(승),vs카직스(패),vs킨드레드(승),vs킨드레드(패),vs클레드(승),vs클레드(패),vs코그모(승),vs코그모(패),vs르블랑(승),vs르블랑(패),vs리 신(승),vs리 신(패),vs레오나(승),vs레오나(패),vs릴리아(승),vs릴리아(패),vs리산드라(승),vs리산드라(패),vs루시안(승),vs루시안(패),vs룰루(승),vs룰루(패),vs럭스(승),vs럭스(패),vs말파이트(승),vs말파이트(패),vs말자하(승),vs말자하(패),vs마오카이(승),vs마오카이(패),vs마스터 이(승),vs마스터 이(패),vs미스포츈(승),vs미스포츈(패),vs오공(승),vs오공(패),vs모데카이저(승),vs모데카이저(패),vs모르가나(승),vs모르가나(패),vs나미(승),vs나미(패),vs나서스(승),vs나서스(패),vs노틸러스(승),vs노틸러스(패),vs니코(승),vs니코(패),vs니달리(승),vs니달리(패),vs닐라(승),vs닐라(패),vs녹턴(승),vs녹턴(패),vs누누와 윌럼프(승),vs누누와 윌럼프(패),vs올라프(승),vs올라프(패),vs오리아나(승),vs오리아나(패),vs오른(승),vs오른(패),vs판테온(승),vs판테온(패),vs뽀삐(승),vs뽀삐(패),vs파이크(승),vs파이크(패),vs키아나(승),vs키아나(패),vs퀸(승),vs퀸(패),vs라칸(승),vs라칸(패),vs람머스(승),vs람머스(패),vs렉사이(승),vs렉사이(패),vs렐(승),vs렐(패),vs레타나 글라스크(승),vs레타나 글라스크(패),vs레넥톤(승),vs레넥톤(패),vs렝가(승),vs렝가(패),vs리븐(승),vs리븐(패),vs럼블(승),vs럼블(패),vs라이즈(승),vs라이즈(패),vs사미라(승),vs사미라(패),vs세주아니(승),vs세주아니(패),vs세나(승),vs세나(패),vs세라핀(승),vs세라핀(패),vs세트(승),vs세트(패),vs샤코(승),vs샤코(패),vs쉔(승),vs쉔(패),vs쉬바나(승),vs쉬바나(패),vs신지드(승),vs신지드(패),vs사이온(승),vs사이온(패),vs시비르(승),vs시비르(패),vs스카너(승),vs스카너(패),vs소나(승),vs소나(패),vs소라카(승),vs소라카(패),vs스웨인(승),vs스웨인(패),vs사일러스(승),vs사일러스(패),vs신드라(승),vs신드라(패),vs탐 켄치(승),vs탐 켄치(패),vs탈리야(승),vs탈리야(패),vs탈론(승),vs탈론(패),vs타릭(승),vs타릭(패),vs티모(승),vs티모(패),vs쓰레쉬(승),vs쓰레쉬(패),vs트리스타나(승),vs트리스타나(패),vs트런들(승),vs트런들(패),vs트린다미어(승),vs트린다미어(패),vs트위스티드 페이트(승),vs트위스티드 페이트(패),vs트위치(승),vs트위치(패),vs우디르(승),vs우디르(패),vs우르곳(승),vs우르곳(패),vs바루스(승),vs바루스(패),vs베인(승),vs베인(패),vs베이가(승),vs베이가(패),vs벨코즈(승),vs벨코즈(패),vs벡스(승),vs벡스(패),vs바이(승),vs바이(패),vs비에고(승),vs비에고(패),vs빅토르(승),vs빅토르(패),vs블라디미르(승),vs블라디미르(패),vs볼리베어(승),vs볼리베어(패),vs워윅(승),vs워윅(패),vs자야(승),vs자야(패),vs제라스(승),vs제라스(패),vs신 짜오(승),vs신 짜오(패),vs야스오(승),vs야스오(패),vs요네(승),vs요네(패),vs요릭(승),vs요릭(패),vs유미(승),vs유미(패),vs자크(승),vs자크(패),vs제드(승),vs제드(패),vs제리(승),vs제리(패),vs직스(승),vs직스(패),vs질리언(승),vs질리언(패),vs조이(승),vs조이(패),vs자이라(승),vs자이라(패)
아우렐리온 솔,136,3,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
아지르,268,171,195,23,25,3,4,11,13,5,6,7,6,9,14,1,0,0,0,15,16,12,6,0,0,-1,-1,6,6,6,8,8,14,0,1,5,6,18,19,10,11,3,3,0,0,1,1,6,3,2,8,9,3,1,3,3,5,7,4,0,1,17,14,4,4,10,8,1,1,9,16,5,12,3,0,12,3,4,7,22,27,0,3,13,5,5,1,1,0,8,13,1,0,4,1,0,2,10,9,2,4,6,8,6,7,31,38,3,12,12,11,5,6,0,2,5,6,0,0,2,1,10,3,1,5,13,17,1,2,0,0,6,6,14,19,9,11,3,2,1,0,6,2,6,9,0,6,1,1,0,0,13,18,2,1,8,19,0,1,4,1,5,0,0,0,0,1,19,20,0,2,17,28,1,2,0,0,1,4,3,2,4,1,6,9,3,4,8,5,9,7,6,4,2,0,8,5,2,4,5,4,5,16,5,10,6,16,1,1,5,1,11,12,4,3,9,8,6,8,0,2,1,3,15,8,2,4,3,5,0,2,0,0,3,3,7,2,0,0,2,0,3,4,0,2,22,29,6,6,1,1,8,8,5,3,1,4,0,0,11,16,7,14,4,0,1,3,1,4,4,2,0,0,0,2,10,13,1,0,2,0,0,0,7,9,9,8,11,18,21,18,1,10,1,2,0,2,3,5,0,1,1,0,6,8,16,19,0,0,7,4,2,6,11,1,1,0,0,0,2,1,13,15,2,1
바드,432,170,174,22,31,3,4,14,20,6,4,2,5,8,16,1,2,1,0,17,14,11,7,0,0,6,6,-1,-1,7,7,5,12,2,1,0,0,15,9,10,10,3,7,2,0,0,0,1,2,5,6,5,5,0,1,3,5,4,4,0,0,13,18,5,5,10,8,0,1,5,13,8,7,3,2,8,3,9,12,18,18,2,1,9,16,2,3,1,0,12,13,1,2,2,0,0,1,9,10,2,3,10,11,0,6,31,37,8,10,19,17,10,6,1,1,3,6,1,0,4,1,6,5,4,2,16,13,3,2,2,0,3,6,13,29,5,6,2,1,1,0,3,2,12,10,4,3,0,2,0,1,22,16,0,0,9,18,1,0,1,0,1,2,0,2,0,0,21,20,0,2,23,15,6,2,0,0,5,6,4,2,0,1,4,6,4,7,2,7,14,10,7,4,2,0,8,2,2,0,1,4,8,8,4,1,13,8,9,5,2,4,4,8,1,3,8,10,7,7,0,4,0,2,7,8,3,4,5,1,0,0,1,0,3,3,8,0,1,0,1,0,5,4,0,1,15,18,10,10,1,0,9,12,6,5,2,2,1,0,15,13,9,7,0,0,4,4,4,1,2,2,1,0,1,0,10,9,2,0,3,0,0,1,2,7,3,6,13,8,19,11,2,4,1,0,1,1,1,2,1,1,1,0,8,9,11,6,0,1,8,9,3,5,5,4,2,1,0,1,1,1,12,10,1,1
벨베스,200,183,181,26,27,3,3,15,10,8,8,9,7,12,16,2,1,1,0,22,11,7,9,0,0,8,6,7,7,-1,-1,7,7,1,0,7,3,19,15,11,7,2,3,0,2,0,0,3,1,4,1,5,6,1,2,2,3,3,6,0,2,15,15,2,4,10,7,3,4,5,14,4,8,2,2,6,5,13,11,28,37,0,2,9,9,4,1,4,2,7,13,1,1,0,1,2,0,5,10,0,3,5,10,10,2,39,36,9,12,9,12,10,10,1,1,2,1,1,2,5,1,8,4,2,4,10,11,3,2,1,0,7,4,18,14,7,6,2,0,4,1,2,2,10,9,7,2,1,0,0,1,16,20,4,3,16,11,1,1,0,0,1,1,1,0,1,0,16,18,2,0,19,20,5,5,0,0,7,3,0,4,2,8,6,1,2,2,3,2,10,10,4,6,3,1,4,10,1,0,6,4,8,12,4,13,12,15,9,3,4,3,9,4,7,1,2,14,12,6,1,2,0,5,18,14,3,3,2,0,0,1,0,1,0,2,5,3,1,0,1,0,2,6,0,2,30,16,9,6,1,1,13,11,4,6,3,1,0,2,15,13,2,8,2,0,3,6,3,4,2,3,1,2,1,1,9,12,0,2,0,2,1,1,7,11,6,6,14,18,10,16,6,4,0,0,2,2,3,3,1,0,0,1,10,4,18,13,0,0,6,5,7,3,4,7,0,0,0,1,2,0,9,15,3,0
블리츠크랭크,53,243,228,30,37,5,5,14,19,12,5,11,16,14,18,2,0,1,0,23,18,7,11,0,1,14,8,12,5,7,7,-1,-1,1,0,4,0,29,16,17,14,4,1,1,3,0,0,2,9,9,7,10,7,2,3,9,4,9,3,1,0,21,20,4,3,9,10,2,1,15,18,8,9,1,2,15,2,10,9,33,33,2,3,16,10,3,2,2,3,15,9,1,1,1,0,0,1,13,10,6,3,10,7,6,9,39,48,13,14,17,6,9,6,0,2,2,9,0,0,2,3,6,6,3,0,17,21,5,4,0,1,9,6,29,26,6,10,3,5,1,2,6,6,17,15,4,4,2,1,0,1,18,24,1,4,9,13,1,1,2,4,9,3,1,0,3,1,22,22,1,1,27,23,3,6,0,3,10,6,5,4,4,3,12,9,5,1,5,6,9,19,4,7,4,3,8,21,3,6,5,2,7,6,2,6,22,13,3,8,3,5,11,12,5,2,17,9,9,13,0,4,1,0,20,17,4,4,8,1,0,0,1,1,2,2,13,5,0,1,0,1,6,4,2,3,22,22,11,8,0,1,21,12,8,8,3,3,0,3,42,34,7,8,1,1,2,3,2,4,3,5,3,4,3,0,14,16,3,1,1,1,2,0,8,3,4,8,13,17,15,17,1,2,0,0,1,2,3,1,7,4,2,2,7,6,21,16,1,0,9,10,5,9,10,4,1,1,1,0,0,0,16,17,2,0
브랜드,63,32,35,2,6,0,0,4,1,0,2,1,2,4,1,0,0,0,0,2,1,1,3,0,0,1,0,1,2,0,1,0,1,-1,-1,0,0,2,3,1,2,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,9,5,1,1,1,3,0,1,3,2,1,0,0,0,1,2,4,0,7,6,2,0,2,3,0,1,0,0,3,2,0,0,1,0,0,0,0,1,1,0,0,1,0,1,6,5,4,2,3,4,0,1,0,0,0,2,0,0,0,0,3,1,2,0,2,2,0,0,0,1,0,1,4,2,1,1,0,0,1,0,0,2,1,1,0,4,0,0,1,0,1,6,1,1,3,3,0,0,0,0,1,0,1,1,1,0,2,1,0,0,3,1,0,0,0,1,0,1,2,1,0,0,1,0,0,0,1,1,3,0,1,2,0,0,3,0,0,1,0,3,1,1,1,1,3,4,0,1,1,0,0,3,0,0,1,1,4,1,0,1,0,0,4,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,6,4,1,4,0,0,0,4,2,0,0,3,0,0,2,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,1,1,0,1,2,3,2,1,5,1,0,0,0,0,0,2,0,0,0,0,0,2,1,2,1,0,0,1,1,1,2,1,2,0,0,0,0,0,0,0,3,0,0
브라움,201,109,109,12,16,0,2,11,15,5,3,3,4,32,22,0,1,0,0,7,7,4,3,0,0,6,5,0,0,3,7,0,4,0,0,-1,-1,1,2,4,7,1,1,0,0,0,1,3,1,4,0,6,5,1,0,1,2,2,4,0,0,6,2,4,3,5,2,1,2,3,7,3,3,3,0,5,4,9,7,13,15,2,1,7,6,0,1,1,0,2,3,0,0,1,1,2,2,2,7,1,2,2,2,2,4,27,28,6,11,0,0,6,5,2,1,2,2,0,0,2,1,3,1,0,1,9,10,1,2,0,0,2,2,9,10,9,5,3,0,1,0,1,1,2,4,0,0,0,1,0,0,13,12,0,1,7,12,1,0,2,1,0,0,0,0,0,0,26,30,1,0,6,9,1,2,0,0,3,1,2,2,1,3,8,3,2,0,3,7,4,6,5,3,2,2,3,7,0,0,3,4,5,8,5,4,6,6,0,1,1,2,7,6,2,0,14,9,4,11,0,0,0,0,8,10,2,2,3,2,0,0,1,2,1,1,1,3,1,0,0,0,0,0,0,0,18,11,7,5,0,0,11,9,4,3,0,1,0,0,7,8,6,3,2,0,2,3,1,0,3,2,0,1,0,0,14,8,3,0,0,0,1,0,3,4,1,2,10,8,3,11,3,1,0,0,1,0,0,0,0,0,0,0,4,2,12,7,0,1,2,1,4,1,2,3,0,2,0,0,0,0,2,5,0,0
케이틀린,51,428,448,70,73,5,7,38,38,15,10,13,7,30,37,2,1,0,1,46,27,32,37,0,0,19,18,9,15,15,19,16,29,3,2,2,1,-1,-1,21,19,3,3,3,3,1,0,8,2,7,7,10,22,1,3,11,15,10,10,0,2,46,47,7,11,25,10,3,4,24,22,21,19,5,0,20,8,18,22,56,69,1,4,19,32,7,5,6,1,20,35,1,1,5,1,8,8,18,17,7,6,49,64,15,8,71,76,23,22,34,52,17,19,3,0,8,6,1,1,8,3,14,18,4,4,30,35,3,8,2,2,10,15,48,48,9,13,6,5,1,1,6,4,32,21,13,9,2,2,3,2,36,37,4,6,27,34,3,0,2,2,2,1,2,3,2,3,55,60,3,2,56,49,6,7,1,3,10,9,8,4,3,6,9,27,14,9,14,11,26,15,14,20,2,1,10,9,3,0,10,5,17,22,23,19,35,32,13,10,7,5,24,25,4,2,26,29,26,22,4,4,1,3,28,33,5,6,8,9,1,2,4,6,4,2,12,8,2,0,0,0,4,11,5,4,29,50,24,19,3,2,36,26,8,17,6,6,3,4,24,25,17,16,1,3,6,8,8,9,2,5,6,5,4,1,23,31,0,4,3,1,0,2,17,18,11,12,20,21,37,35,7,16,1,1,2,2,4,7,2,1,2,1,17,14,33,25,1,3,23,21,12,12,12,19,5,1,1,3,5,4,28,40,3,5
카밀,164,242,279,68,80,4,3,28,21,5,8,10,10,14,28,0,2,0,0,16,16,10,10,0,0,11,10,10,10,7,11,14,17,2,1,7,4,19,21,-1,-1,1,3,2,3,0,1,4,4,4,9,11,6,2,0,7,11,2,9,0,2,32,20,2,5,12,10,1,5,7,15,6,14,2,1,3,5,13,9,38,44,3,2,11,19,4,5,2,4,15,15,1,0,4,2,4,2,18,22,2,3,13,13,4,6,41,66,10,19,11,12,11,7,0,0,3,3,0,1,4,4,3,2,3,3,17,14,3,6,0,0,8,6,25,26,9,9,4,2,2,0,2,5,11,11,7,6,0,0,1,0,30,31,4,0,19,19,1,1,5,0,3,4,1,3,0,1,16,35,1,1,17,30,6,7,1,1,1,4,7,4,2,6,11,10,7,4,6,10,8,7,11,9,2,4,13,14,2,3,5,5,9,15,8,15,16,18,4,5,2,4,13,15,5,4,10,21,10,13,5,3,1,1,17,17,1,7,7,3,1,0,2,0,1,1,6,5,1,1,0,0,3,6,3,1,15,27,9,14,3,1,19,29,3,8,6,2,2,0,19,16,9,10,1,1,2,5,2,6,4,6,5,3,0,0,21,15,3,4,2,0,2,0,9,9,6,10,17,17,23,24,2,4,0,0,0,0,4,8,1,0,4,1,12,7,27,24,2,2,9,11,5,2,6,13,1,0,0,5,1,1,19,19,1,0
카시오페아,69,89,104,13,10,0,1,9,5,2,2,3,2,6,11,0,0,1,0,5,6,6,4,0,0,3,3,7,3,3,2,1,4,0,1,1,1,3,3,3,1,-1,-1,1,1,0,0,3,5,0,4,2,6,0,1,2,4,3,3,0,0,9,12,3,1,3,4,1,0,4,8,8,4,1,0,3,2,4,1,14,13,1,0,7,4,4,1,0,0,7,7,0,0,1,0,1,2,3,4,1,1,2,3,1,2,17,25,2,5,5,6,5,3,1,1,1,2,1,0,2,1,4,3,0,2,4,3,1,3,1,1,1,2,9,9,5,4,0,1,1,0,5,2,9,6,1,1,0,1,1,0,9,10,2,2,5,13,1,0,0,1,1,1,0,0,1,1,2,9,0,0,6,12,4,2,0,1,4,3,2,2,1,1,1,5,1,1,1,0,5,5,2,6,0,1,2,4,1,1,2,2,4,10,2,4,4,12,2,4,2,0,7,8,0,3,7,7,4,6,1,0,0,2,8,10,1,7,2,1,0,0,1,1,1,2,7,1,0,0,0,0,1,3,3,0,16,20,7,4,1,0,6,8,1,3,0,4,2,0,5,8,4,4,1,0,1,0,1,2,0,1,0,0,0,1,6,7,2,1,0,0,0,1,6,3,4,6,9,7,6,4,1,3,1,1,0,0,0,0,2,2,0,2,3,3,6,9,0,1,3,3,2,3,2,2,0,0,0,0,0,0,6,9,0,1
초가스,31,30,27,4,2,0,1,2,1,1,0,3,2,3,1,0,1,0,0,1,1,0,1,0,0,0,0,0,2,2,0,3,1,0,1,0,0,3,3,3,2,1,1,-1,-1,0,0,0,1,1,2,2,1,0,0,1,0,0,1,0,1,3,1,0,2,2,2,0,0,2,1,2,3,0,0,1,1,2,1,3,2,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,6,9,2,1,2,2,0,1,1,0,0,1,0,0,0,0,1,0,0,2,2,3,1,1,0,0,1,1,4,1,0,1,1,1,0,0,3,0,1,0,1,2,0,0,0,0,5,2,1,0,1,2,0,0,0,0,2,0,1,0,0,0,2,2,0,0,5,2,2,0,0,0,1,1,3,1,1,0,0,1,1,0,2,1,1,4,1,2,0,1,1,0,0,1,1,0,0,2,1,1,2,5,1,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,4,4,0,1,0,0,3,3,1,1,0,0,1,0,3,2,3,2,1,0,1,0,1,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3,1,0,0,2,0,0,1,0,0,1,0,1,0,0,0,2,2,0,0
코르키,42,10,5,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
다리우스,122,75,100,17,20,2,2,4,5,1,3,1,3,9,6,0,0,0,0,3,5,5,5,0,0,3,6,2,1,1,3,9,2,0,1,1,3,2,8,4,4,5,3,1,0,0,0,-1,-1,1,1,3,3,0,0,1,1,1,3,1,0,7,7,0,2,5,5,0,0,2,5,2,4,0,0,3,5,5,8,11,13,1,0,8,6,0,0,0,0,0,7,3,0,1,1,1,0,0,8,1,1,3,8,2,5,14,17,7,5,8,4,2,3,1,1,2,2,0,0,0,0,0,0,0,0,6,7,1,3,0,0,1,2,7,6,4,3,1,2,1,2,3,3,6,8,1,2,0,0,0,0,6,9,3,3,7,5,0,1,0,0,0,2,0,2,1,1,4,7,0,0,3,8,1,1,1,1,1,2,1,2,2,2,4,2,2,2,3,5,3,7,3,3,1,1,4,9,2,0,0,2,2,4,3,0,1,7,5,0,2,3,9,4,2,0,4,8,6,6,0,1,1,1,8,10,0,1,1,5,0,1,1,0,1,1,6,2,1,0,1,1,2,1,1,1,5,14,0,2,1,0,5,8,5,4,1,1,0,1,3,11,2,5,1,0,0,1,2,2,1,3,2,1,0,1,1,6,3,0,1,1,0,0,1,3,2,3,1,7,4,6,4,8,0,0,0,0,1,3,0,0,0,0,3,3,8,7,0,0,2,5,1,4,2,5,1,0,0,0,0,0,6,8,0,0
다이애나,131,125,133,22,21,1,3,9,13,4,2,6,10,5,12,1,1,0,2,4,8,10,12,0,0,8,2,6,5,1,4,7,9,1,1,0,4,7,7,9,4,4,0,2,1,0,0,1,1,-1,-1,1,3,1,0,2,4,3,3,0,0,20,11,4,2,4,3,0,0,7,7,6,7,0,1,3,4,3,8,14,18,0,1,7,16,0,2,2,3,7,17,1,0,1,1,1,1,5,6,2,2,6,4,4,3,22,23,7,9,9,4,3,1,2,1,2,5,0,1,7,3,4,9,2,0,5,5,0,0,1,0,3,2,14,12,8,6,2,2,2,1,2,4,7,8,3,6,1,1,0,1,10,11,3,1,9,9,0,0,1,1,2,1,0,2,3,0,7,10,1,2,20,13,5,2,0,1,4,0,3,0,1,1,3,1,2,3,6,3,5,5,4,5,0,1,4,4,0,1,5,4,6,4,4,6,9,7,3,5,2,5,6,8,1,0,11,12,8,5,4,2,1,1,11,9,0,1,3,1,0,0,0,0,2,2,2,4,0,0,0,0,1,1,0,2,14,13,5,5,3,0,7,15,1,4,1,1,1,1,6,10,6,10,0,2,2,1,2,2,2,0,1,4,2,1,7,11,3,2,1,3,0,0,4,6,4,1,9,14,3,6,2,6,1,1,0,0,1,2,2,0,0,0,7,3,9,9,1,0,6,4,0,3,9,5,1,0,1,0,2,2,8,8,1,1
드레이븐,119,209,190,33,39,3,4,29,14,5,6,6,9,17,18,1,1,0,0,21,21,11,6,0,0,3,9,5,5,6,5,7,10,1,0,5,6,22,10,6,11,6,2,1,2,0,0,3,3,3,1,-1,-1,1,2,5,7,5,4,1,1,17,19,6,2,16,9,0,1,4,9,8,7,0,1,3,3,7,7,28,26,1,3,14,11,2,6,0,0,5,11,1,1,2,1,5,2,11,10,3,1,5,3,7,8,39,33,11,17,12,7,7,8,2,1,6,6,0,0,3,4,1,1,0,2,11,17,3,1,2,1,8,2,22,20,10,11,3,2,3,0,5,1,17,10,4,4,1,0,2,0,19,18,1,1,19,13,2,0,2,1,2,0,1,0,4,0,17,16,1,3,20,22,4,3,2,0,1,4,5,6,5,3,7,5,8,0,7,3,8,8,10,7,3,2,10,7,3,1,6,6,7,10,6,11,7,12,4,4,2,4,14,9,1,5,10,17,15,7,1,2,5,3,18,11,1,3,4,5,1,0,2,1,2,1,4,4,0,1,0,0,4,3,3,1,20,19,14,10,3,1,9,12,8,9,2,3,2,1,16,21,8,6,3,0,3,7,5,6,1,1,1,2,1,1,23,16,1,4,0,1,1,1,8,4,9,7,12,14,16,16,6,5,1,0,0,2,0,3,2,1,3,0,3,5,20,13,2,1,6,7,3,8,10,1,3,1,0,1,3,1,16,11,0,0
문도 박사,36,46,38,1,4,1,0,1,4,3,0,4,3,2,2,0,0,0,0,5,3,4,1,0,0,3,1,1,0,2,1,3,2,0,0,0,1,3,1,0,2,1,0,0,0,0,0,0,0,0,1,2,1,-1,-1,1,1,2,0,0,0,4,3,0,0,3,2,1,0,1,0,1,4,0,0,3,2,1,2,5,4,2,0,3,0,0,1,1,0,4,1,0,0,0,0,0,1,3,2,0,1,0,2,2,1,9,15,3,1,2,0,2,0,0,0,0,1,0,0,0,0,2,4,1,1,2,1,0,0,0,0,0,2,6,1,2,3,0,1,1,0,0,2,5,2,0,1,0,0,0,0,4,1,0,0,4,3,1,0,0,0,0,0,0,0,2,0,3,6,0,0,6,9,1,0,0,0,2,1,1,1,0,0,0,1,1,1,6,1,2,0,0,2,0,0,2,3,2,1,1,1,5,2,0,2,8,5,1,0,3,0,3,3,2,0,4,0,2,0,1,0,0,0,3,5,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,8,6,3,2,0,1,5,4,1,4,1,4,0,0,3,1,2,0,0,1,0,0,2,2,0,1,0,1,0,0,1,3,1,1,0,0,0,0,1,0,1,2,4,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,0,0,1,1,0,1,1,1,0,0,0,0,0,0,2,2,0,0
에코,245,132,146,26,26,0,2,6,14,2,3,12,10,6,9,1,1,0,0,9,4,3,2,1,1,5,3,5,3,3,2,4,9,1,1,2,1,15,11,11,7,4,2,0,1,0,0,1,1,4,2,7,5,1,1,-1,-1,5,1,1,0,13,13,1,1,10,6,1,1,8,7,7,4,0,1,4,3,8,7,20,27,2,0,7,4,2,2,1,2,7,9,1,0,2,2,2,2,6,7,1,1,4,11,4,8,23,24,6,7,11,11,3,6,0,1,2,2,1,0,1,3,6,8,3,1,5,15,1,4,0,0,2,4,15,13,3,7,2,3,1,0,1,6,6,9,2,4,0,0,0,0,11,13,2,3,6,8,1,0,1,0,3,2,0,0,0,1,12,10,4,1,13,20,0,4,0,1,1,1,1,0,2,4,7,6,3,0,6,5,6,4,1,5,1,2,10,6,0,4,4,1,5,10,3,8,8,5,3,5,1,4,1,5,5,3,3,12,6,6,2,2,2,1,8,11,2,2,2,3,0,0,1,2,0,0,4,5,0,1,0,1,2,2,2,2,17,13,17,12,3,1,10,9,3,8,3,1,1,0,5,12,6,10,1,2,3,2,2,1,2,1,1,1,0,1,11,6,5,2,0,0,0,1,5,2,5,6,8,10,6,17,2,2,0,0,2,0,1,4,3,0,3,0,8,5,12,8,0,1,5,8,2,5,3,5,2,2,0,1,0,0,7,11,1,1
