championName,championId,Win,Lose,Banned,아트록스(승),아트록스(패),아트록스(밴),아리(승),아리(패),아리(밴),아칼리(승),아칼리(패),아칼리(밴),아크샨(승),아크샨(패),아크샨(밴),알리스타(승),알리스타(패),알리스타(밴),아무무(승),아무무(패),아무무(밴),애니비아(승),애니비아(패),애니비아(밴),애니(승),애니(패),애니(밴),아펠리오스(승),아펠리오스(패),아펠리오스(밴),애쉬(승),애쉬(패),애쉬(밴),아우렐리온 솔(승),아우렐리온 솔(패),아우렐리온 솔(밴),아지르(승),아지르(패),아지르(밴),바드(승),바드(패),바드(밴),벨베스(승),벨베스(패),벨베스(밴),블리츠크랭크(승),블리츠크랭크(패),블리츠크랭크(밴),브랜드(승),브랜드(패),브랜드(밴),브라움(승),브라움(패),브라움(밴),케이틀린(승),케이틀린(패),케이틀린(밴),카밀(승),카밀(패),카밀(밴),카시오페아(승),카시오페아(패),카시오페아(밴),초가스(승),초가스(패),초가스(밴),코르키(승),코르키(패),코르키(밴),다리우스(승),다리우스(패),다리우스(밴),다이애나(승),다이애나(패),다이애나(밴),드레이븐(승),드레이븐(패),드레이븐(밴),문도 박사(승),문도 박사(패),문도 박사(밴),에코(승),에코(패),에코(밴),엘리스(승),엘리스(패),엘리스(밴),이블린(승),이블린(패),이블린(밴),이즈리얼(승),이즈리얼(패),이즈리얼(밴),피들스틱(승),피들스틱(패),피들스틱(밴),피오라(승),피오라(패),피오라(밴),피즈(승),피즈(패),피즈(밴),갈리오(승),갈리오(패),갈리오(밴),갱플랭크(승),갱플랭크(패),갱플랭크(밴),가렌(승),가렌(패),가렌(밴),나르(승),나르(패),나르(밴),그라가스(승),그라가스(패),그라가스(밴),그레이브즈(승),그레이브즈(패),그레이브즈(밴),그웬(승),그웬(패),그웬(밴),헤카림(승),헤카림(패),헤카림(밴),하이머딩거(승),하이머딩거(패),하이머딩거(밴),일라오이(승),일라오이(패),일라오이(밴),이렐리아(승),이렐리아(패),이렐리아(밴),아이번(승),아이번(패),아이번(밴),잔나(승),잔나(패),잔나(밴),자르반 4세(승),자르반 4세(패),자르반 4세(밴),잭스(승),잭스(패),잭스(밴),제이스(승),제이스(패),제이스(밴),진(승),진(패),진(밴),징크스(승),징크스(패),징크스(밴),카이사(승),카이사(패),카이사(밴),칼리스타(승),칼리스타(패),칼리스타(밴),카르마(승),카르마(패),카르마(밴),카서스(승),카서스(패),카서스(밴),카사딘(승),카사딘(패),카사딘(밴),카타리나(승),카타리나(패),카타리나(밴),케일(승),케일(패),케일(밴),케인(승),케인(패),케인(밴),케넨(승),케넨(패),케넨(밴),카직스(승),카직스(패),카직스(밴),킨드레드(승),킨드레드(패),킨드레드(밴),클레드(승),클레드(패),클레드(밴),코그모(승),코그모(패),코그모(밴),르블랑(승),르블랑(패),르블랑(밴),리 신(승),리 신(패),리 신(밴),레오나(승),레오나(패),레오나(밴),릴리아(승),릴리아(패),릴리아(밴),리산드라(승),리산드라(패),리산드라(밴),루시안(승),루시안(패),루시안(밴),룰루(승),룰루(패),룰루(밴),럭스(승),럭스(패),럭스(밴),말파이트(승),말파이트(패),말파이트(밴),말자하(승),말자하(패),말자하(밴),마오카이(승),마오카이(패),마오카이(밴),마스터 이(승),마스터 이(패),마스터 이(밴),미스포츈(승),미스포츈(패),미스포츈(밴),오공(승),오공(패),오공(밴),모데카이저(승),모데카이저(패),모데카이저(밴),모르가나(승),모르가나(패),모르가나(밴),나미(승),나미(패),나미(밴),나서스(승),나서스(패),나서스(밴),노틸러스(승),노틸러스(패),노틸러스(밴),니코(승),니코(패),니코(밴),니달리(승),니달리(패),니달리(밴),닐라(승),닐라(패),닐라(밴),녹턴(승),녹턴(패),녹턴(밴),누누와 윌럼프(승),누누와 윌럼프(패),누누와 윌럼프(밴),올라프(승),올라프(패),올라프(밴),오리아나(승),오리아나(패),오리아나(밴),오른(승),오른(패),오른(밴),판테온(승),판테온(패),판테온(밴),뽀삐(승),뽀삐(패),뽀삐(밴),파이크(승),파이크(패),파이크(밴),키아나(승),키아나(패),키아나(밴),퀸(승),퀸(패),퀸(밴),라칸(승),라칸(패),라칸(밴),람머스(승),람머스(패),람머스(밴),렉사이(승),렉사이(패),렉사이(밴),렐(승),렐(패),렐(밴),레타나 글라스크(승),레타나 글라스크(패),레타나 글라스크(밴),레넥톤(승),레넥톤(패),레넥톤(밴),렝가(승),렝가(패),렝가(밴),리븐(승),리븐(패),리븐(밴),럼블(승),럼블(패),럼블(밴),라이즈(승),라이즈(패),라이즈(밴),사미라(승),사미라(패),사미라(밴),세주아니(승),세주아니(패),세주아니(밴),세나(승),세나(패),세나(밴),세라핀(승),세라핀(패),세라핀(밴),세트(승),세트(패),세트(밴),샤코(승),샤코(패),샤코(밴),쉔(승),쉔(패),쉔(밴),쉬바나(승),쉬바나(패),쉬바나(밴),신지드(승),신지드(패),신지드(밴),사이온(승),사이온(패),사이온(밴),시비르(승),시비르(패),시비르(밴),스카너(승),스카너(패),스카너(밴),소나(승),소나(패),소나(밴),소라카(승),소라카(패),소라카(밴),스웨인(승),스웨인(패),스웨인(밴),사일러스(승),사일러스(패),사일러스(밴),신드라(승),신드라(패),신드라(밴),탐 켄치(승),탐 켄치(패),탐 켄치(밴),탈리야(승),탈리야(패),탈리야(밴),탈론(승),탈론(패),탈론(밴),타릭(승),타릭(패),타릭(밴),티모(승),티모(패),티모(밴),쓰레쉬(승),쓰레쉬(패),쓰레쉬(밴),트리스타나(승),트리스타나(패),트리스타나(밴),트런들(승),트런들(패),트런들(밴),트린다미어(승),트린다미어(패),트린다미어(밴),트위스티드 페이트(승),트위스티드 페이트(패),트위스티드 페이트(밴),트위치(승),트위치(패),트위치(밴),우디르(승),우디르(패),우디르(밴),우르곳(승),우르곳(패),우르곳(밴),바루스(승),바루스(패),바루스(밴),베인(승),베인(패),베인(밴),베이가(승),베이가(패),베이가(밴),벨코즈(승),벨코즈(패),벨코즈(밴),벡스(승),벡스(패),벡스(밴),바이(승),바이(패),바이(밴),비에고(승),비에고(패),비에고(밴),빅토르(승),빅토르(패),빅토르(밴),블라디미르(승),블라디미르(패),블라디미르(밴),볼리베어(승),볼리베어(패),볼리베어(밴),워윅(승),워윅(패),워윅(밴),자야(승),자야(패),자야(밴),제라스(승),제라스(패),제라스(밴),신 짜오(승),신 짜오(패),신 짜오(밴),야스오(승),야스오(패),야스오(밴),요네(승),요네(패),요네(밴),요릭(승),요릭(패),요릭(밴),유미(승),유미(패),유미(밴),자크(승),자크(패),자크(밴),제드(승),제드(패),제드(밴),제리(승),제리(패),제리(밴),직스(승),직스(패),직스(밴),질리언(승),질리언(패),질리언(밴),조이(승),조이(패),조이(밴),자이라(승),자이라(패),자이라(밴)
아우렐리온 솔,136,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아지르,268,171,195,176,36,28,87,0,0,1,3,3,7,0,2,8,5,13,10,16,10,25,0,1,1,0,0,0,9,14,2,1,5,3,0,0,0,-1,-1,-1,8,8,2,11,8,7,12,5,19,0,1,0,4,5,0,20,16,40,7,6,1,5,3,0,0,1,0,0,0,0,2,4,5,1,2,3,6,6,67,1,2,0,2,1,0,6,3,7,1,0,0,14,21,1,2,1,2,5,6,38,0,0,3,0,0,2,5,10,23,1,1,0,4,10,2,5,6,4,23,31,44,1,3,3,11,20,31,3,2,7,0,3,0,9,6,7,0,2,0,0,0,0,1,3,0,7,13,20,3,2,2,6,7,0,4,6,0,39,46,3,15,9,37,9,14,7,0,2,29,0,0,0,0,0,13,1,0,0,1,6,5,5,2,5,4,5,0,21,12,57,4,5,1,2,0,0,0,0,44,27,25,13,10,6,0,0,1,0,1,0,1,1,2,2,7,11,7,5,5,0,2,0,0,0,0,0,18,19,6,1,1,0,8,12,13,0,2,1,0,2,0,2,0,2,0,0,1,1,1,0,15,26,11,0,0,0,10,13,86,4,5,13,0,0,0,4,1,5,2,2,0,0,0,4,5,5,2,2,2,0,5,5,4,9,15,97,3,3,6,0,0,1,8,13,6,1,2,1,4,4,22,6,4,1,4,7,11,11,13,17,2,4,3,4,2,2,6,4,6,0,0,1,9,12,34,9,8,1,1,2,0,0,0,0,9,8,6,2,3,18,1,3,0,0,1,0,1,0,0,0,2,0,4,5,3,1,1,0,0,0,0,1,5,0,1,1,2,2,0,36,1,0,12,0,2,0,4,5,41,2,3,7,4,3,0,0,1,4,14,14,4,11,8,3,1,5,0,1,2,1,1,0,1,1,2,2,3,0,1,0,1,0,9,7,11,0,1,1,0,0,0,0,0,0,0,1,8,9,6,0,10,13,2,1,1,10,2,3,1,0,0,0,1,2,1,3,0,0,0,2,0,2,2,0,1,7,3,3,6,4,0,0,0,7,10,38,1,2,2,1,1,31,1,1,0,0,0,0,0,0,0,0,0,39,0,0,1
바드,432,170,174,23,26,29,14,2,2,0,18,14,1,5,4,0,0,0,0,1,0,5,1,1,0,1,0,0,8,9,0,5,2,0,0,1,0,8,8,2,-1,-1,-1,8,3,6,0,1,2,0,0,0,0,0,0,47,45,2,10,10,0,5,7,0,0,0,0,2,1,0,0,3,0,4,7,0,6,3,9,3,0,1,0,4,0,4,5,1,0,0,0,32,29,1,2,1,0,7,6,4,2,1,1,11,12,0,12,7,4,1,1,0,9,7,0,4,12,0,28,24,3,1,1,0,10,9,0,0,0,1,1,1,0,8,12,1,0,0,0,0,0,0,2,2,0,11,9,1,3,2,0,13,15,0,0,2,0,10,19,1,2,2,10,1,1,4,2,7,4,0,1,0,7,3,1,0,0,0,4,1,0,6,4,1,3,3,0,18,12,11,3,3,0,0,0,0,3,5,5,22,23,5,0,0,1,2,2,0,0,1,0,2,3,0,1,0,1,2,0,0,0,0,0,0,1,0,8,7,2,2,3,0,9,10,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,18,15,8,2,3,2,2,0,0,3,4,1,2,2,0,4,2,1,9,7,0,1,2,0,3,5,2,0,3,11,3,7,3,2,1,0,0,0,0,1,2,0,4,4,1,0,0,0,0,0,0,11,6,0,4,5,1,1,0,0,6,10,2,2,3,0,1,2,4,4,13,0,0,0,0,1,0,0,13,5,0,2,3,1,2,1,0,0,0,0,1,0,0,0,2,0,10,8,1,0,0,0,0,0,0,0,0,0,2,1,0,15,16,3,13,6,1,0,0,0,19,13,3,3,3,0,0,0,0,0,0,0,0,0,0,8,5,0,0,1,0,4,2,0,1,0,0,2,1,0,0,4,1,0,0,1,6,6,0,0,3,0,0,0,0,1,0,0,6,8,1,4,6,0,12,10,1,6,16,1,3,2,0,0,0,0,0,1,0,3,4,0,0,1,1,0,2,0,2,10,2,8,12,0,1,2,0,0,0,2,1,2,0,0,6,6,3,0,0,1,1,0,0,0,0,13,13,4,0,0,0
벨베스,200,183,181,334,29,26,130,2,5,2,15,22,5,4,2,20,8,8,10,18,13,37,0,1,0,0,0,0,11,10,3,8,7,2,1,0,0,11,8,7,8,3,6,-1,-1,-1,11,8,27,0,2,1,4,4,1,12,15,63,8,14,3,4,5,1,0,0,0,0,0,0,3,1,22,1,1,1,11,5,126,2,0,2,3,2,2,0,1,12,1,0,0,11,14,8,0,1,9,8,6,63,0,0,7,6,13,4,7,8,16,2,0,4,4,6,0,16,10,5,0,0,88,0,1,4,2,0,71,4,4,13,0,0,2,6,10,29,0,0,1,0,1,1,1,1,0,5,7,35,0,2,4,8,3,0,5,7,0,30,38,8,19,15,71,10,12,17,0,2,47,2,0,2,7,5,28,2,0,0,1,0,3,11,10,6,1,1,1,0,2,117,1,3,0,0,0,0,4,5,94,2,2,19,10,3,4,2,0,0,2,3,0,1,2,3,7,11,14,2,3,0,2,1,0,0,0,0,13,16,20,1,0,4,14,12,33,0,0,1,0,3,1,0,2,5,0,1,0,0,0,0,17,16,37,1,0,0,4,1,138,2,2,30,2,0,0,2,2,17,6,7,2,5,1,1,5,2,0,3,3,2,5,1,11,7,12,180,2,4,16,1,1,1,5,3,4,0,0,7,0,1,31,6,5,3,8,6,22,6,9,30,4,4,12,0,1,1,9,10,14,3,1,1,13,9,62,17,9,6,4,3,0,2,2,0,5,8,7,2,2,19,6,3,1,0,1,0,2,1,0,3,2,0,1,8,9,0,1,0,0,0,0,3,4,0,3,6,1,23,31,63,6,12,29,4,3,0,7,8,74,0,0,21,3,5,1,1,2,2,13,14,6,10,8,2,0,1,0,1,0,5,3,3,3,4,1,1,1,0,9,0,2,0,7,8,20,0,2,5,0,3,0,0,0,1,8,6,18,0,0,3,1,1,5,18,14,14,5,10,7,0,0,0,1,0,0,9,3,0,1,2,5,1,0,0,3,2,29,7,3,9,0,1,1,2,0,48,3,3,4,3,4,71,1,2,0,0,1,0,0,2,1,16,5,48,2,2,0
블리츠크랭크,53,243,228,519,40,35,234,2,3,3,21,17,19,4,17,28,1,1,17,0,1,81,0,0,4,1,0,0,14,10,2,5,4,8,0,0,0,12,5,19,0,1,2,11,8,27,-1,-1,-1,1,0,2,0,1,2,10,6,69,9,10,8,4,8,4,0,0,1,0,0,0,2,6,44,6,4,1,6,9,149,1,3,8,7,9,1,8,2,40,0,1,0,9,11,8,1,4,10,14,6,125,1,1,11,12,10,14,6,8,40,1,1,10,9,8,2,10,8,1,28,31,147,1,1,6,10,10,82,0,1,17,2,2,2,15,13,65,0,1,2,0,0,0,2,1,0,11,13,46,3,2,4,6,8,2,9,5,0,87,73,20,19,15,78,2,0,24,10,7,78,1,0,1,7,5,47,2,1,1,4,3,14,10,7,8,2,2,1,15,16,123,3,4,3,0,0,0,8,11,148,21,16,48,1,1,13,3,4,2,1,4,0,2,3,6,0,0,14,3,0,1,4,0,5,1,1,1,14,14,18,3,2,21,14,18,65,0,1,3,2,2,1,0,0,12,0,0,1,2,1,0,1,1,61,2,0,1,18,18,171,2,1,44,2,2,1,6,3,16,4,3,5,4,7,5,13,8,2,1,2,1,5,3,30,0,1,229,11,4,20,8,6,4,1,0,3,1,4,9,9,7,70,0,1,7,0,1,24,11,23,43,4,9,18,4,3,1,9,8,23,4,4,1,12,18,83,11,9,9,1,0,1,0,1,0,14,14,18,4,3,47,9,2,2,0,0,0,3,0,3,1,4,1,4,6,18,1,1,0,0,0,0,0,0,0,3,2,1,31,17,86,11,14,55,0,0,1,19,16,93,8,6,23,1,0,1,0,0,7,2,0,13,13,11,2,1,2,0,5,6,3,7,2,8,4,1,4,3,6,23,2,1,2,14,14,17,3,6,16,0,2,0,0,3,1,8,5,49,13,6,2,13,12,6,15,19,40,2,4,8,2,0,2,2,2,0,4,3,1,1,0,4,1,2,0,8,7,29,16,17,30,1,0,0,0,0,88,6,9,6,4,6,128,1,0,1,0,2,2,0,1,3,12,14,69,0,0,1
브랜드,63,32,35,16,2,5,8,1,1,0,2,5,1,1,1,0,2,1,0,0,1,2,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,2,-1,-1,-1,2,0,1,1,2,5,1,3,1,1,0,0,0,1,0,0,0,0,1,2,1,1,1,1,1,2,4,1,0,0,0,1,0,0,0,0,0,0,0,4,2,1,0,1,0,4,0,4,1,0,0,2,1,2,1,2,1,0,1,1,2,2,0,1,2,0,3,4,4,1,0,0,1,3,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,2,0,3,6,0,0,0,0,5,3,1,0,1,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,0,1,0,0,0,0,3,6,7,5,3,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,1,1,0,3,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,0,1,0,0,0,4,2,3,0,0,0,0,2,0,0,1,0,0,3,1,0,0,0,1,0,0,1,2,0,2,1,2,0,0,9,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,2,1,0,3,0,0,0,0,0,0,6,1,1,0,1,2,2,1,1,1,0,2,0,0,0,0,3,0,1,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,2,3,1,1,0,0,0,1,0,2,1,1,2,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,2,0,2,3,2,1,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,4,2,1,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
브라움,201,109,109,11,15,17,5,0,0,0,10,10,0,3,6,0,0,0,0,0,0,2,0,1,0,0,1,0,11,15,0,8,10,0,0,0,0,4,5,0,0,0,0,4,4,1,0,1,2,2,0,1,-1,-1,-1,9,4,1,7,8,0,2,1,0,0,0,0,0,0,0,1,0,1,3,3,0,0,1,4,1,1,0,3,0,0,4,1,0,0,0,0,4,13,0,2,1,0,4,2,5,2,0,0,7,5,0,6,1,0,0,0,1,3,3,0,4,4,0,21,23,4,0,1,0,8,8,2,1,0,0,0,2,0,5,6,0,0,2,0,0,0,0,0,2,0,7,4,0,0,0,0,1,1,0,3,4,0,14,10,0,0,1,1,0,1,0,3,5,3,0,0,0,2,2,0,0,0,0,2,1,0,4,5,0,2,1,0,8,6,2,1,1,0,0,1,0,3,4,4,15,12,1,0,0,0,1,1,0,0,4,0,4,3,0,0,2,1,1,0,0,0,0,0,0,0,0,7,10,1,1,3,0,8,6,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,5,1,1,0,1,0,0,1,0,0,1,3,0,1,0,0,4,5,0,1,1,0,3,3,1,0,0,5,3,6,0,1,1,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,1,7,7,1,2,5,0,0,1,0,8,4,1,2,1,0,0,1,2,5,5,0,0,0,0,0,1,0,6,5,0,2,0,1,0,2,0,0,0,0,2,0,0,0,1,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,15,19,2,10,3,2,0,0,0,5,8,2,2,2,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0,1,1,0,1,0,0,1,1,0,2,4,1,1,0,0,29,24,0,4,2,0,1,0,0,0,0,0,1,5,1,1,2,0,5,6,0,11,9,1,4,4,0,1,0,0,0,1,0,2,1,0,0,0,1,1,1,0,4,5,0,11,10,1,0,0,0,0,0,4,1,1,0,0,0,3,0,2,0,0,1,0,0,0,0,9,3,0,0,0,0
케이틀린,51,428,448,1365,68,60,593,4,10,11,28,36,32,15,12,86,7,5,32,12,12,152,4,4,5,1,1,0,0,0,7,7,15,9,0,1,0,20,16,40,47,45,2,12,15,63,10,6,69,1,2,5,9,4,1,-1,-1,-1,19,27,14,4,4,7,0,0,4,2,1,0,8,7,46,12,11,0,0,0,461,3,2,9,7,9,7,13,7,38,2,3,0,0,0,24,4,6,21,19,22,308,3,1,34,26,32,53,26,23,118,1,4,15,11,14,3,10,14,18,63,62,374,5,7,15,25,36,288,9,21,48,1,1,8,21,32,135,1,6,2,2,3,1,1,3,0,18,20,149,6,6,14,0,0,1,0,0,0,0,1,48,0,0,284,48,50,76,14,15,207,2,2,2,14,11,116,1,0,1,8,7,10,14,14,44,7,6,3,36,21,369,8,4,6,0,0,1,10,14,409,57,54,102,11,11,5,5,5,2,3,2,2,2,4,10,20,38,37,89,78,0,1,3,9,0,2,1,22,34,36,6,6,12,0,0,95,1,0,4,3,4,2,37,33,13,1,2,0,1,1,2,9,15,96,3,2,0,43,45,662,0,0,98,2,2,0,6,7,40,9,6,5,6,4,17,18,18,7,9,4,4,7,7,44,8,10,660,12,11,62,3,7,12,5,16,5,4,3,22,10,9,134,10,3,13,6,7,80,28,29,152,5,9,50,6,8,12,18,20,74,1,10,3,0,0,160,22,24,26,2,1,0,1,3,0,31,31,36,6,5,75,9,11,6,1,1,0,1,1,6,0,3,1,0,0,43,0,1,1,1,0,0,13,11,1,4,3,5,44,42,244,15,26,86,2,3,2,35,28,293,7,11,66,2,2,8,3,0,9,38,23,40,8,2,7,1,3,5,7,7,10,9,5,5,1,1,1,4,6,33,3,0,4,0,0,72,3,2,12,3,2,1,7,1,3,17,15,109,10,15,12,34,28,11,29,26,68,15,12,32,3,0,3,3,3,0,0,0,3,2,6,4,1,3,0,8,11,54,27,39,59,3,1,1,5,5,213,3,9,18,15,16,323,0,0,1,0,0,1,1,5,3,34,32,286,3,5,2
카밀,164,242,279,64,0,6,32,1,5,1,14,17,1,7,6,1,10,11,0,15,18,9,1,0,1,0,0,0,12,16,1,17,12,2,0,0,0,7,6,1,10,10,0,8,14,3,9,10,8,1,3,1,7,8,0,19,27,14,-1,-1,-1,3,4,1,2,2,1,0,0,0,1,1,3,7,7,0,11,12,19,0,0,2,4,9,1,4,6,7,0,1,0,24,23,3,1,5,3,0,0,16,1,5,0,27,37,7,1,1,1,0,0,1,1,2,0,10,10,0,30,34,13,2,1,1,8,16,15,4,3,2,0,0,0,8,9,3,2,2,1,4,1,0,1,0,0,2,1,6,1,0,0,10,9,0,7,10,0,51,48,2,14,20,4,11,16,5,10,8,4,2,3,0,10,4,2,0,0,0,3,2,1,0,1,0,2,4,0,14,14,20,0,0,3,1,0,0,2,7,19,19,29,4,12,13,0,8,7,1,1,4,1,7,5,0,12,17,4,5,4,0,0,1,0,0,0,0,14,24,4,2,0,1,11,18,9,0,0,0,0,0,0,3,2,0,2,0,0,1,0,0,27,30,11,3,2,0,28,28,24,3,8,3,1,1,1,10,6,5,1,1,0,5,4,0,1,1,1,3,2,0,2,1,4,13,24,27,5,8,3,0,0,0,8,11,0,2,2,0,7,12,4,12,9,0,7,8,2,3,2,5,2,0,1,0,0,0,3,6,4,2,2,1,11,19,14,3,10,0,3,0,0,1,3,0,12,8,5,3,2,1,1,1,0,1,0,0,0,3,0,0,0,0,6,10,2,0,0,0,0,0,0,6,6,0,3,4,1,28,38,14,8,14,3,6,0,1,31,20,12,6,4,1,5,3,1,0,1,0,13,18,3,9,12,1,0,1,1,0,0,0,4,2,0,4,4,0,1,2,3,1,0,0,17,16,3,2,3,2,1,1,1,0,1,0,5,5,9,4,5,1,11,14,0,26,15,3,1,4,2,1,2,0,1,0,0,4,4,0,0,1,0,1,3,0,1,7,3,13,15,7,0,0,0,10,8,11,6,3,2,5,6,12,1,2,0,0,1,0,2,1,0,9,13,17,2,2,0
카시오페아,69,89,104,43,8,9,22,0,1,0,6,2,1,0,4,2,4,2,2,9,1,8,0,2,0,1,0,0,5,12,0,4,3,0,0,0,0,5,3,0,5,7,0,4,5,1,4,8,4,1,0,0,2,1,0,4,4,7,3,4,1,-1,-1,-1,0,1,0,0,0,0,0,2,2,2,0,1,3,0,18,0,0,0,1,2,1,3,5,1,0,0,0,8,12,1,3,2,2,2,2,7,1,0,0,1,2,2,7,7,5,1,1,1,1,2,0,4,4,1,12,19,10,0,0,0,8,11,10,0,1,1,0,1,2,3,3,6,0,1,0,1,1,0,2,0,0,2,6,2,5,2,0,3,2,0,3,3,0,11,9,4,6,4,7,6,3,4,1,1,9,0,1,0,1,3,2,0,0,0,2,1,1,2,1,0,2,2,0,7,11,14,1,1,0,0,0,0,0,0,13,9,5,3,6,3,0,0,0,0,0,0,0,3,1,0,2,5,0,0,3,0,1,0,1,0,0,0,3,7,3,0,0,1,9,9,1,1,1,1,0,2,0,5,1,0,0,0,0,0,0,0,9,14,5,1,1,0,2,4,21,3,6,4,0,0,0,0,0,2,4,0,0,0,2,0,1,1,0,0,2,0,3,3,1,6,4,25,1,1,1,0,1,0,2,6,1,1,1,0,3,6,8,6,2,0,2,7,3,3,6,3,0,0,2,1,1,0,0,2,2,2,0,0,3,3,8,3,4,2,0,2,0,1,0,0,3,5,1,0,0,2,1,3,0,1,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,1,3,0,0,0,0,7,6,8,4,2,4,0,1,0,6,2,11,2,5,1,1,0,0,0,0,1,8,10,0,2,5,0,1,3,0,0,0,2,0,1,0,2,3,0,0,1,1,2,1,0,3,6,1,0,1,0,0,0,0,0,0,0,2,0,7,5,2,0,5,9,1,2,1,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,2,4,9,2,0,0,0,3,6,9,3,3,0,2,3,8,1,0,0,0,0,0,1,0,0,5,3,9,0,1,0
